detail_id,detail_id,TRUE
order_id,order_id,TRUE
dishes_id,dishes_id,TRUE
logicprn_name,logicprn_name,TRUE
parent_class_name,parent_class_name,TRUE
dishes_name,dishes_name,TRUE
itemis_add,itemis_add,TRUE
counts,counts,TRUE
amounts,amounts,TRUE
cost,cost,TRUE
place_order_time,place_order_time,TRUE
discount_amt,discount_amt,TRUE
discount_reason,discount_reason,TRUE
kick_back,kick_back,TRUE
add_inprice,add_inprice,TRUE
add_info,add_info,TRUE
bar_code,bar_code,TRUE
picture_file,picture_file,TRUE
emp_id,emp_id,TRUE
