,0,FLIGHT_COUNT,LAST_TO_END,avg_discount,SEG_KM_SUM
0,90.2,210,1,0.9616390429999999,580717
1,86.56666666666666,140,7,1.25231444,293678
2,87.16666666666667,135,11,1.254675516,283712
3,68.23333333333333,23,97,1.090869565,281336
4,60.53333333333333,152,5,0.970657895,309928
5,74.7,92,79,0.967692483,294585
6,97.7,101,1,0.965346535,287042
7,48.4,73,3,0.962070222,287230
8,34.266666666666666,56,6,0.828478237,321489
9,45.5,64,15,0.7080101529999999,375074
10,40.96666666666667,43,22,0.988658044,262013
11,114.16666666666667,145,6,0.95253487,271438
12,89.5,29,67,0.799126984,321529
13,90.46666666666667,118,3,1.398381742,179514
14,50.63333333333333,50,2,0.9219848409999999,270067
15,73.13333333333334,22,65,1.0260845859999999,234721
16,45.166666666666664,101,7,1.3865249,172231
17,41.233333333333334,40,45,0.8378442429999999,284160
18,97.2,64,2,1.4015962640000001,169358
19,31.5,38,24,0.70828541,332896
20,69.0,106,4,1.369404116,167113
21,34.266666666666666,23,6,1.0616309240000001,214590
22,109.23333333333333,94,23,0.741803833,305250
23,48.266666666666666,20,74,1.004904443,222380
24,50.2,44,17,0.7873084440000001,281837
25,42.13333333333333,62,17,0.9029900190000001,243674
26,87.16666666666667,213,3,1.146354614,187917
27,112.06666666666666,74,11,1.4333644280000002,148685
28,100.16666666666667,101,18,1.33816985,159129
29,70.46666666666667,87,11,1.424714581,149254
30,97.03333333333333,53,2,1.469224298,144076
31,113.76666666666667,95,8,1.414895104,149053
32,109.2,131,16,0.9448842709999999,220948
33,97.76666666666667,95,3,1.3986401940000002,148227
34,89.23333333333333,47,3,0.725685618,285144
35,54.333333333333336,25,108,0.937899941,220389
36,111.1,24,34,1.087220053,189813
37,97.43333333333334,54,125,1.462104927,141012
38,83.96666666666667,166,1,0.890172305,229303
39,61.93333333333333,81,34,1.4291794430000002,140819
40,96.56666666666666,98,2,1.458541443,137876
41,38.93333333333333,35,3,0.9985545459999999,201141
42,88.1,95,3,1.3969850069999998,140803
43,47.56666666666667,46,13,0.764737193,256766
44,113.46666666666667,54,38,1.20853437,160825
45,40.2,21,22,1.029507529,185493
46,20.866666666666667,110,1,1.015978367,187588
47,93.83333333333333,134,7,1.356053179,140356
48,111.7,107,2,1.3989924230000002,135811
49,45.166666666666664,70,304,0.863479447,219282
50,71.33333333333333,189,1,0.802633323,235687
51,27.1,87,4,1.4251770069999998,132283
52,89.66666666666667,29,11,0.8888699859999999,211369
53,76.76666666666667,48,1,1.408197795,130135
54,82.0,68,1,1.349375212,135374
55,113.5,111,4,0.828452854,216560
56,77.23333333333333,69,22,1.3549435669999998,131660
57,74.96666666666667,126,4,0.867522349,204371
58,112.66666666666667,55,15,1.1460005979999999,153868
59,111.7,76,21,0.819187329,214921
60,110.96666666666667,68,15,1.380410335,127335
61,113.96666666666667,77,1,1.2880183809999999,136121
62,46.36666666666667,84,6,0.9380310559999999,186821
63,35.06666666666667,96,14,0.848239546,204612
64,46.766666666666666,30,8,1.0572572120000001,164001
65,105.06666666666666,85,19,1.4261062619999998,121097
66,77.6,32,88,0.9446501209999999,182563
67,45.333333333333336,34,19,1.0136699759999999,170121
68,41.6,197,1,0.620507614,275800
69,64.43333333333334,30,7,0.928504294,184194
70,19.766666666666666,18,62,0.8118710790000001,209911
71,54.13333333333333,64,19,1.236256939,137636
72,27.7,149,4,0.774487057,219108
73,77.5,61,13,1.183962818,143186
74,42.166666666666664,36,36,0.8061770690000001,209839
75,44.166666666666664,22,22,0.992454374,170406
76,12.7,23,29,0.995539285,169224
77,34.2,16,18,1.019520072,163191
